Concelho,Intermunicipal Entity,District,Region
Abrantes,Médio Tejo,Santarém,Ribatejo
Águeda,Região de Aveiro,Aveiro,Beira Litoral
Albergaria-a-Velha,Região de Aveiro,Aveiro,Beira Litoral
Albufeira,Algarve,Faro,Algarve
Alcácer do Sal,Alentejo Litoral,Setúbal,Baixo Alentejo
Alcanena,Médio Tejo,Santarém,Ribatejo
Alcobaça,Oeste,Leiria,Estremadura
Alcochete,Área Metropolitana de Lisboa,Setúbal,Estremadura
Alcoutim,Algarve,Faro,Algarve
Alenquer,Oeste,Lisboa,Estremadura
Alijó,Douro,Vila Real,Trás-os-Montes e Alto Douro
Aljezur,Algarve,Faro,Algarve
Aljustrel,Baixo Alentejo,Beja,Baixo Alentejo
Almada,Área Metropolitana de Lisboa,Setúbal,Estremadura
Almeida,Beiras e Serra da Estrela,Guarda,Beira Alta
Almodôvar,Baixo Alentejo,Beja,Baixo Alentejo
Alter do Chão,Alto Alentejo,Portalegre,Alto Alentejo
Alvito,Baixo Alentejo,Beja,Baixo Alentejo
Amadora,Área Metropolitana de Lisboa,Lisboa,Estremadura
Amarante,Tâmega e Sousa,Porto,Douro Litoral
Anadia,Região de Aveiro,Aveiro,Beira Litoral
Arraiolos,Alentejo Central,Évora,Alto Alentejo
Arronches,Alto Alentejo,Portalegre,Alto Alentejo
Aveiro,Região de Aveiro,Aveiro,Beira Litoral
Azambuja,Lezíria do Tejo,Lisboa,Ribatejo
Baião,Tâmega e Sousa,Porto,Douro Litoral
Barcelos,Cávado,Braga,Minho
Barrancos,Baixo Alentejo,Beja,Baixo Alentejo
Barreiro,Área Metropolitana de Lisboa,Setúbal,Estremadura
Beja,Baixo Alentejo,Beja,Baixo Alentejo
Belmonte,Beiras e Serra da Estrela,Castelo Branco,Beira Baixa
Benavente,Lezíria do Tejo,Santarém,Ribatejo
Bombarral,Oeste,Leiria,Estremadura
Borba,Alentejo Central,Évora,Alto Alentejo
Braga,Cávado,Braga,Minho
Caldas da Rainha,Oeste,Leiria,Estremadura
Caminha,Alto Minho,Viana do Castelo,Minho
Cantanhede,Região de Coimbra,Coimbra,Beira Litoral
Carrazeda de Ansiães,Douro,Bragança,Trás-os-Montes e Alto Douro
Carregal do Sal,Viseu Dão-Lafões,Viseu,Beira Alta
Cartaxo,Lezíria do Tejo,Santarém,Ribatejo
Cascais,Área Metropolitana de Lisboa,Lisboa,Estremadura
Castelo Branco,Beira Baixa,Castelo Branco,Beira Baixa
Castro Marim,Algarve,Faro,Algarve
Castro Verde,Baixo Alentejo,Beja,Baixo Alentejo
Celorico da Beira,Beiras e Serra da Estrela,Guarda,Beira Alta
Coimbra,Região de Coimbra,Coimbra,Beira Litoral
Condeixa-a-Nova,Região de Coimbra,Coimbra,Beira Litoral
Constância,Médio Tejo,Santarém,Ribatejo
Covilhã,Beiras e Serra da Estrela,Castelo Branco,Beira Baixa
Crato,Alto Alentejo,Portalegre,Alto Alentejo
Cuba,Baixo Alentejo,Beja,Baixo Alentejo
Elvas,Alto Alentejo,Portalegre,Alto Alentejo
Entroncamento,Médio Tejo,Santarém,Ribatejo
Espinho,Área Metropolitana do Porto,Aveiro,Douro Litoral
Estarreja,Região de Aveiro,Aveiro,Beira Litoral
