Location A,Location B,Means of transport,Distance,Way,Cardinal point,Order A,Order B
A1 - Canidelo,A1 - Saída 23,Car,1.8,A1/IC23 VCI,N,1,2
A1 - Canidelo,Cruzamento da A1 com a A44,Car,1.8,A1/IC23 VCI,SE,2,1
A1 - Saída 1A,A1 - São João da Talha,Car,3.1,A1,S,1,2
A1 - Saída 1A,Cruzamento da A1 com a A9 CREL,Car,6.1,A1,NE,2,1
A1 - Saída 2A,A1 - Saída 3,Car,3.6,A1,NE,2,1
A1 - Saída 2A,Cruzamento da A1 com a A9 CREL,Car,7.4,A1,SW,1,2
A1 - Saída 3,A1 - Saída 3A,Car,3.9,A1,N,2,1
A1 - Saída 3A,Cruzamento da A1 com a A10,Car,1.2,A1,N,2,1
A1 - Saída 5,A1 - Saída 5A,Car,11.3,A1,NE,2,1
A1 - Saída 5,Área de Serviço de Aveiras,Car,2.6,A1,SW,1,2
A1 - Saída 5A,A1 - Saída 6,Car,8.0,A1,NE,2,1
A1 - Saída 6,Cruzamento da A1 com a A15,Car,1.3,A1,NE,2,1
A1 - Saída 8,Área de Serviço de Leiria,Car,11.0,A1,N,2,1
A1 - Saída 8,Cruzamento da A1 com a A23,Car,20.3,A1,S,1,2
A1 - Saída 9,A1 - Saída 10,Car,24.0,A1,N,2,1
A1 - Saída 9,Área de Serviço de Leiria,Car,4.3,A1,SE,1,2
A1 - Saída 10,Área de Serviço de Pombal,Car,11.0,A1,NE,2,1
A1 - Saída 10A,Área de Serviço de Pombal,Car,3.8,A1,SW,1,2
A1 - Saída 10A,Cruzamento da A1 com a A13-1,Car,13.0,A1,NE,2,1
A1 - Saída 12,Cruzamento da A1 com a A13-1,Car,7.9,A1,S,1,2
A1 - Saída 12,Cruzamento da A1 com a A14,Car,8.1,A1,N,2,1
A1 - Saída 12,Estação de Casais,Car,1.5,,NE,3,3
A1 - Saída 14,A1 - Saída 15,Car,23.6,A1,N,2,1
A1 - Saída 14,Área de Serviço de Mealhada-Cantanhede,Car,4.6,A1,S,1,2
A1 - Saída 15,Cruzamento da A1 com a A25,Car,14.3,A1,N,2,1
A1 - Saída 17,A1 - Saída 18,Car,16.8,A1,N,2,1
A1 - Saída 17,Área de Serviço de Antuã-Estarreja,Car,3.2,A1,S,1,2
A1 - Saída 18,Cruzamento da A1 com a A41 CREP,Car,9.8,A1,N,2,1
A1 - Saída 18B,Cruzamento da A1 com a A20,Car,3.3,A1,N,2,1
A1 - Saída 18B,Cruzamento da A1 com a A41 CREP,Car,4.2,A1,S,1,2
A1 - Saída 20,Área de Serviço de Gaia,Car,1.2,A1,SE,2,1
A1 - Saída 20,Cruzamento da A1 com a A44,Car,1.7,A1,W,1,2
A1 - Saída 23,IC23 - Campo Alegre,Car,1.0,A1/IC23 VCI/Ponte da Arrábida,N,1,2
A1 - São João da Talha,Cruzamento da A1 com a A12 e a IC17 CRIL,Car,3.7,A1,S,1,4
A2 - Saída 1,Área de Serviço de Seixal,Car,6.1,A2,SE,2,1
A2 - Saída 1,Eixo Norte-Sul - Alcântara,Car,4.9,Ponte 25 de Abril,N,1,2
A2 - Saída 2,A2 - Saída 3,Car,8.6,A2,SE,2,1
A2 - Saída 2,Área de Serviço de Seixal,Car,3.0,A2,NW,1,2
A2 - Saída 3,Área de Serviço de Palmela,Car,7.6,A2,E,2,1
A2 - Saída 4,Área de Serviço de Palmela,Car,5.9,A2,W,1,2
A2 - Saída 4,Cruzamento da A2 com a A12,Car,2.0,A2,SE,2,1
A2 - Saída 6,Águas de Moura,Car,3.4,N10,SW,3,1
A2 - Saída 6,Cruzamento da A2 com a A6 e a A13,Car,2.6,A2,E,2,1
A2 - Saída 6,Cruzamento da A2 com a A12,Car,17.2,A2,W,1,2
A2 - Saída 8,A2 - Saída 9,Car,22.6,A2,S,2,1
A2 - Saída 8,Águas de Moura,Car,26.6,IC1,NW,4,2
A2 - Saída 8,Alcácer do Sal,Car,5.4,IC1,S,3,2
A2 - Saída 8,Área de Serviço de Alcácer do Sal,Car,13.1,A2,NW,1,2
A2 - Saída 9,Área de Serviço de Grândola,Car,7.0,A2,SE,2,1
A2 - Saída 9,Cruzamento do IC1 com o IP8,Car,4.7,IP8,SW,3,1
A2 - Saída 11,A2 - Saída 12,Car,26.8,A2,SE,2,1
A2 - Saída 11,Aljustrel,Car,7.9,,SE,3,2
A2 - Saída 11,Área de Serviço de Aljustrel,Car,3.5,A2,N,1,2
A2 - Saída 11,Mimosa,Car,15.6,,NW,4,3
A2 - Saída 12,Área de Serviço de Almodôvar,Car,15.1,A2,S,2,1
A2 - Saída 12,IP2 - Saída 50,Car,2.1,IP2,NE,3,2
A2 - Saída 12,Ourique,Car,7.8,N123,SW,4,3
A2 - Saída 13,A2 - Saída 14,Car,33.1,A2,SW,2,1
A2 - Saída 13,Almodôvar,Car,12.2,,E,4,3
A2 - Saída 13,Área de Serviço de Almodôvar,Car,1.7,A2,N,1,2
A2 - Saída 13,Santana da Serra,Car,17.3,,W,3,2
A2 - Saída 14,Cruzamento da A2 com a A22,Car,12.1,A2,SE,2,3
A2 - Saída 14,Cruzamento da N124 com a N270,Car,2.3,N124,SE,3,3
A2 - Saída 14,IC1 - Cruzamento com a N124,Car,1.7,N124,SW,4,1
A3 - Início,A3 - Saída 2,Car,1.2,A3,N,3,1
A3 - Início,IC23 - Nó das Antas,Car,0.8,A20/IC23 VCI,SE,1,2
A3 - Início,IC23 - Paranhos,Car,0.8,A20/IC23 VCI,W,2,1
A3 - Saída 2,Cruzamento da A3 com a A4,Car,1.8,A3,N,2,1
A3 - Saída 5,Área de Serviço de Coronado/Trofa,Car,10.2,A3,SW,1,2
A3 - Saída 5,Cruzamento da A3 com a A7,Car,5.4,A3,N,2,1
A3 - Saída 7,A3 - Saída 8,Car,7.2,A3,N,2,1
A3 - Saída 7,Cruzamento da A3 com a A7,Car,8.7,A3,S,1,2
A3 - Saída 8,Cruzamento da A3 com a A11,Car,3.3,A3,NW,2,1
A3 - Saída 10,A3 - Saída 11,Car,10.1,A3,N,2,1
A3 - Saída 10,Área de Serviço de Barcelos,Car,10.0,A3,S,1,2
A3 - Saída 11,Cruzamento da A3 com a A27,Car,1.3,A3,N,2,1
A3 - Saída 13,A3 - Saída 14,Car,8.1,A3,N,2,1
