Location A,Location B,Means of transport,Starting point,Destination
A1 - Canidelo,A1 - Saída 23,Car,False,A44 - Espinho
A1 - Canidelo,A1 - Saída 23,Car,False,Lisboa
A1 - Canidelo,A1 - Saída 23,Car,False,Vila Nova de Gaia - Centro da cidade
A1 - Canidelo,A1 - Saída 23,Car,True,Porto
A1 - Canidelo,A1 - Saída 23,Car,True,Vila Nova de Gaia - São Pedro da Afurada
A1 - Canidelo,Cruzamento da A1 com a A44,Car,False,Porto
A1 - Canidelo,Cruzamento da A1 com a A44,Car,False,Vila Nova de Gaia - Devesas
A1 - Canidelo,Cruzamento da A1 com a A44,Car,True,A29 - Espinho
A1 - Canidelo,Cruzamento da A1 com a A44,Car,True,Lisboa
A1 - Canidelo,Cruzamento da A1 com a A44,Car,True,Vila Nova de Gaia - Coimbrões
A1 - Saída 1A,A1 - São João da Talha,Car,False,Alverca
A1 - Saída 1A,A1 - São João da Talha,Car,False,Norte
A1 - Saída 1A,A1 - São João da Talha,Car,True,A12 - Sul
A1 - Saída 1A,A1 - São João da Talha,Car,True,IC17 CRIL - Algés
A1 - Saída 1A,A1 - São João da Talha,Car,True,Lisboa
A1 - Saída 1A,Cruzamento da A1 com a A9 CREL,Car,False,Lisboa
A1 - Saída 1A,Cruzamento da A1 com a A9 CREL,Car,False,Sacavém
A1 - Saída 1A,Cruzamento da A1 com a A9 CREL,Car,True,Alverca
A1 - Saída 1A,Cruzamento da A1 com a A9 CREL,Car,True,Porto
A1 - Saída 2A,A1 - Saída 3,Car,False,Alverca
A1 - Saída 2A,A1 - Saída 3,Car,False,Lisboa
A1 - Saída 2A,A1 - Saída 3,Car,True,Carregado
A1 - Saída 2A,A1 - Saída 3,Car,True,Porto
A1 - Saída 2A,Cruzamento da A1 com a A9 CREL,Car,False,Porto
A1 - Saída 2A,Cruzamento da A1 com a A9 CREL,Car,False,Vila Franca de Xira
A1 - Saída 2A,Cruzamento da A1 com a A9 CREL,Car,True,Alverca
A1 - Saída 2A,Cruzamento da A1 com a A9 CREL,Car,True,Lisboa
A1 - Saída 3,A1 - Saída 3A,Car,False,Lisboa
A1 - Saída 3,A1 - Saída 3A,Car,False,Vila Franca de Xira
A1 - Saída 3,A1 - Saída 3A,Car,True,Carregado
A1 - Saída 3,A1 - Saída 3A,Car,True,Porto
A1 - Saída 3A,Cruzamento da A1 com a A10,Car,False,Lisboa
A1 - Saída 3A,Cruzamento da A1 com a A10,Car,False,Vila Franca de Xira
A1 - Saída 3A,Cruzamento da A1 com a A10,Car,True,Aveiras
A1 - Saída 3A,Cruzamento da A1 com a A10,Car,True,Porto
A1 - Saída 5,A1 - Saída 5A,Car,False,Aveiras
A1 - Saída 5,A1 - Saída 5A,Car,False,Lisboa
A1 - Saída 5,A1 - Saída 5A,Car,True,Cartaxo
A1 - Saída 5,A1 - Saída 5A,Car,True,Porto
A1 - Saída 5,Área de Serviço de Aveiras,Car,False,Aveiras
A1 - Saída 5,Área de Serviço de Aveiras,Car,False,Porto
A1 - Saída 5,Área de Serviço de Aveiras,Car,True,Alenquer
A1 - Saída 5,Área de Serviço de Aveiras,Car,True,Lisboa
A1 - Saída 5A,A1 - Saída 6,Car,False,Cartaxo
A1 - Saída 5A,A1 - Saída 6,Car,False,Lisboa
A1 - Saída 5A,A1 - Saída 6,Car,True,Porto
A1 - Saída 5A,A1 - Saída 6,Car,True,Santarém
A1 - Saída 6,Cruzamento da A1 com a A15,Car,False,A2
A1 - Saída 6,Cruzamento da A1 com a A15,Car,False,A6
A1 - Saída 6,Cruzamento da A1 com a A15,Car,False,A13
A1 - Saída 6,Cruzamento da A1 com a A15,Car,False,Lisboa
A1 - Saída 6,Cruzamento da A1 com a A15,Car,False,Santarém
A1 - Saída 6,Cruzamento da A1 com a A15,Car,True,Porto
A1 - Saída 6,Cruzamento da A1 com a A15,Car,True,Torres Novas
A1 - Saída 8,Área de Serviço de Leiria,Car,False,Fátima
A1 - Saída 8,Área de Serviço de Leiria,Car,False,Lisboa
A1 - Saída 8,Área de Serviço de Leiria,Car,True,Leiria
A1 - Saída 8,Área de Serviço de Leiria,Car,True,Porto
A1 - Saída 8,Cruzamento da A1 com a A23,Car,False,Fátima
A1 - Saída 8,Cruzamento da A1 com a A23,Car,False,Porto
A1 - Saída 8,Cruzamento da A1 com a A23,Car,True,Lisboa
A1 - Saída 8,Cruzamento da A1 com a A23,Car,True,Torres Novas
A1 - Saída 9,A1 - Saída 10,Car,False,Leiria
A1 - Saída 9,A1 - Saída 10,Car,False,Lisboa
A1 - Saída 9,A1 - Saída 10,Car,True,Pombal
A1 - Saída 9,A1 - Saída 10,Car,True,Porto
A1 - Saída 9,Área de Serviço de Leiria,Car,False,Leiria
A1 - Saída 9,Área de Serviço de Leiria,Car,False,Porto
A1 - Saída 9,Área de Serviço de Leiria,Car,True,Fátima
A1 - Saída 9,Área de Serviço de Leiria,Car,True,Lisboa
A1 - Saída 10,Área de Serviço de Pombal,Car,False,Lisboa
A1 - Saída 10,Área de Serviço de Pombal,Car,False,Pombal
A1 - Saída 10,Área de Serviço de Pombal,Car,True,Porto
A1 - Saída 10,Área de Serviço de Pombal,Car,True,Soure
A1 - Saída 10A,Área de Serviço de Pombal,Car,False,Porto
A1 - Saída 10A,Área de Serviço de Pombal,Car,False,Soure
A1 - Saída 10A,Área de Serviço de Pombal,Car,True,Lisboa
A1 - Saída 10A,Área de Serviço de Pombal,Car,True,Pombal
A1 - Saída 10A,Cruzamento da A1 com a A13-1,Car,False,Lisboa
A1 - Saída 10A,Cruzamento da A1 com a A13-1,Car,False,Soure
A1 - Saída 10A,Cruzamento da A1 com a A13-1,Car,True,Condeixa-a-Nova
A1 - Saída 10A,Cruzamento da A1 com a A13-1,Car,True,Porto
A1 - Saída 12,Cruzamento da A1 com a A13-1,Car,False,Coimbra - Sul
A1 - Saída 12,Cruzamento da A1 com a A13-1,Car,False,Porto
A1 - Saída 12,Cruzamento da A1 com a A13-1,Car,True,Condeixa-a-Nova
A1 - Saída 12,Cruzamento da A1 com a A13-1,Car,True,Lisboa
A1 - Saída 12,Cruzamento da A1 com a A14,Car,False,Coimbra - Sul
A1 - Saída 12,Cruzamento da A1 com a A14,Car,False,Lisboa
A1 - Saída 12,Cruzamento da A1 com a A14,Car,True,A14 - Figueira da Foz
A1 - Saída 12,Cruzamento da A1 com a A14,Car,True,Coimbra - Norte
A1 - Saída 12,Cruzamento da A1 com a A14,Car,True,Porto
A1 - Saída 14,A1 - Saída 15,Car,False,Lisboa
A1 - Saída 14,A1 - Saída 15,Car,False,Mealhada
A1 - Saída 14,A1 - Saída 15,Car,True,Aveiro
A1 - Saída 14,A1 - Saída 15,Car,True,Porto
A1 - Saída 14,Área de Serviço de Mealhada-Cantanhede,Car,False,Mealhada
A1 - Saída 14,Área de Serviço de Mealhada-Cantanhede,Car,False,Porto
A1 - Saída 14,Área de Serviço de Mealhada-Cantanhede,Car,True,Coimbra
A1 - Saída 14,Área de Serviço de Mealhada-Cantanhede,Car,True,Lisboa
A1 - Saída 15,Cruzamento da A1 com a A25,Car,False,Lisboa
A1 - Saída 15,Cruzamento da A1 com a A25,Car,False,Oliveira do Bairro
A1 - Saída 15,Cruzamento da A1 com a A25,Car,True,A25 - Viseu
A1 - Saída 15,Cruzamento da A1 com a A25,Car,True,Porto
A1 - Saída 17,A1 - Saída 18,Car,False,Estarreja
A1 - Saída 17,A1 - Saída 18,Car,False,Lisboa
A1 - Saída 17,A1 - Saída 18,Car,True,Porto
A1 - Saída 17,A1 - Saída 18,Car,True,Santa Maria da Feira
A1 - Saída 17,Área de Serviço de Antuã-Estarreja,Car,False,Estarreja
A1 - Saída 17,Área de Serviço de Antuã-Estarreja,Car,False,Porto
A1 - Saída 17,Área de Serviço de Antuã-Estarreja,Car,True,Albergaria-a-Velha
A1 - Saída 17,Área de Serviço de Antuã-Estarreja,Car,True,Lisboa
A1 - Saída 18,Cruzamento da A1 com a A41 CREP,Car,False,Lisboa
A1 - Saída 18,Cruzamento da A1 com a A41 CREP,Car,False,Santa Maria da Feira
A1 - Saída 18,Cruzamento da A1 com a A41 CREP,Car,True,Espinho
A1 - Saída 18,Cruzamento da A1 com a A41 CREP,Car,True,Porto
A1 - Saída 18B,Cruzamento da A1 com a A20,Car,False,A41 - Espinho
A1 - Saída 18B,Cruzamento da A1 com a A20,Car,False,Lisboa
A1 - Saída 18B,Cruzamento da A1 com a A20,Car,False,Santa Maria da Feira
A1 - Saída 18B,Cruzamento da A1 com a A20,Car,True,Porto
A1 - Saída 18B,Cruzamento da A1 com a A41 CREP,Car,False,Porto
A1 - Saída 18B,Cruzamento da A1 com a A41 CREP,Car,False,Vila Nova de Gaia - Carvalhos
A1 - Saída 18B,Cruzamento da A1 com a A41 CREP,Car,True,Espinho
