Name,Parish,Concelho
A1 - Canidelo,Canidelo,Vila Nova de Gaia
A1 - Saída 1A,Santa Iria de Azóia,Loures
A1 - Saída 2A,Vila Franca de Xira,Vila Franca de Xira
A1 - Saída 3,Vila Franca de Xira,Vila Franca de Xira
A1 - Saída 3A,Castanheira do Ribatejo,Vila Franca de Xira
A1 - Saída 5,Aveiras de Cima,Azambuja
A1 - Saída 5A,Vila Chã de Ourique,Cartaxo
A1 - Saída 6,Várzea,Santarém
A1 - Saída 8,Fátima,Ourém
A1 - Saída 9,Santa Eufémia,Leiria
A1 - Saída 10,Pombal,Pombal
A1 - Saída 10A,Soure,Soure
A1 - Saída 12,Ribeira de Frades,Coimbra
A1 - Saída 14,Sepins,Cantanhede
A1 - Saída 15,Nossa Senhora de Fátima,Aveiro
A1 - Saída 17,Beduído,Estarreja
A1 - Saída 18,Feira,Santa Maria da Feira
A1 - Saída 18B,Perosinho,Vila Nova de Gaia
A1 - Saída 20,Mafamude,Vila Nova de Gaia
A1 - Saída 23,São Pedro da Afurada,Vila Nova de Gaia
A1 - São João da Talha,São João da Talha,Loures
A2 - Saída 1,Pragal,Almada
A2 - Saída 2,Arrentela,Seixal
A2 - Saída 3,Quinta do Anjo,Palmela
A2 - Saída 4,Palmela,Palmela
A2 - Saída 6,Marateca,Palmela
A2 - Saída 8,São Martinho,Alcácer do Sal
A2 - Saída 9,Grândola,Grândola
A2 - Saída 11,Rio de Moinhos,Aljustrel
A2 - Saída 12,Castro Verde,Castro Verde
A2 - Saída 13,Gomes Aires,Almodôvar
A2 - Saída 14,São Bartolomeu de Messines,Silves
A3 - Início,Paranhos,Porto
A3 - Saída 2,Pedrouços,Maia
A3 - Saída 5,São Martinho,Trofa
A3 - Saída 7,Vale (São Cosme),Vila Nova de Famalicão
A3 - Saída 8,Fradelos,Braga
A3 - Saída 10,Anais,Ponte de Lima
A3 - Saída 11,Ribeira,Ponte de Lima
A3 - Saída 13,Sapardos,Vila Nova de Cerveira
A3 - Saída 14,São Pedro da Torre,Valença
A3 - Saída 15,Valença,Valença
A4 - Matosinhos,Matosinhos,Matosinhos
A4 - Saída 2,Matosinhos,Matosinhos
A4 - Saída 4,Leça do Balio,Matosinhos
A4 - Saída 5,São Mamede de Infesta,Matosinhos
A5 - Fim,Cascais,Cascais
A5 - Saída 1,Campolide,Lisboa
A5 - Saída 2,Alcântara,Lisboa
A5 - Saída 3,Benfica,Lisboa
A5 - Saída 4,Algés,Oeiras
A5 - Saída 5,Carnaxide,Oeiras
A5 - Saída 7,Paço de Arcos,Oeiras
A5 - Saída 8,São Domingos de Rana,Cascais
A5 - Saída 9,Estoril,Cascais
A5 - Saída 11,Alcabideche,Cascais
A5 - Saída 12,Cascais,Cascais
A6 - Saída 2,Vendas Novas,Vendas Novas
A6 - Saída 3,Nossa Senhora do Bispo,Montemor-o-Novo
A6 - Saída 4,Nossa Senhora da Vila,Montemor-o-Novo
A6 - Saída 5,Nossa Senhora de Guadalupe,Évora
A6 - Saída 6,Igrejinha,Arraiolos
A6 - Saída 7,Santa Maria,Estremoz
A6 - Saída 8,Matriz,Borba
A6 - Saída 9,São Brás e São Lourenço,Elvas
A6 - Saída 10,São Vicente e Ventosa,Elvas
A6 - Saída 11,Caia e São Pedro,Elvas
A6 - Saída 12,Caia e São Pedro,Elvas
A6 - Saída 13,Caia e São Pedro,Elvas
A8 - Início,Olival Basto,Odivelas
A9 CREL - Saída 3,São Brás,Amadora
A9 CREL - Saída 4,Loures,Loures
A10 - Saída 5,Benavente,Benavente
A12 - Cruzamento com a N10-8,São Sebastião,Setúbal
A12 - Saída 2,Pinhal Novo,Palmela
