Local A,Local B,Meio de transporte,Origem,Destino
A-376 - Centro Comercial,Cruzamento da A-376 com a SE-30,Carro,False,Universidade Pablo de Olavide
A-376 - Centro Comercial,Cruzamento da A-376 com a SE-30,Carro,False,Utrera
A-376 - Centro Comercial,Cruzamento da A-376 com a SE-30,Carro,True,Sevilha
A-376 - Centro Comercial,A-376 - Universidade Pablo de Olavide,Carro,False,Sevilha
A-376 - Centro Comercial,A-376 - Universidade Pablo de Olavide,Carro,True,Utrera
A-376 - Condequinto,A-376 - Montequinto,Carro,False,Sevilha
A-376 - Condequinto,A-376 - Montequinto,Carro,True,Ronda
A-376 - Condequinto,A-376 - Montequinto,Carro,True,Utrera
A-376 - Condequinto,A-376 - Universidade Pablo de Olavide,Carro,False,Ronda
A-376 - Condequinto,A-376 - Universidade Pablo de Olavide,Carro,False,Utrera
A-376 - Condequinto,A-376 - Universidade Pablo de Olavide,Carro,True,Sevilha
A-376 - Fim da auto-estrada,A-376 - Saída 21,Carro,False,Ronda
A-376 - Fim da auto-estrada,A-376 - Saída 21,Carro,False,Utrera
A-376 - Fim da auto-estrada,A-376 - Saída 21,Carro,True,Sevilha
A-376 - Montequinto,A-376 - Saída 4A,Carro,False,Sevilha
A-376 - Montequinto,A-376 - Saída 4A,Carro,True,Utrera
A-376 - Saída 4A,A-376 - Saída 4B,Carro,False,Sevilha
A-376 - Saída 4A,A-376 - Saída 4B,Carro,True,Utrera
A-376 - Saída 4B,Cruzamento da A-376 com a SE-40,Carro,False,Sevilha
A-376 - Saída 4B,Cruzamento da A-376 com a SE-40,Carro,True,Ronda
A-376 - Saída 4B,Cruzamento da A-376 com a SE-40,Carro,True,Utrera
A-376 - Saída 8,A-376 - Saída 11/13,Carro,False,Sevilha
A-376 - Saída 8,A-376 - Saída 11/13,Carro,True,Ronda
A-376 - Saída 8,A-376 - Saída 11/13,Carro,True,Utrera
A-376 - Saída 8,Cruzamento da A-376 com a SE-40,Carro,False,Utrera
A-376 - Saída 8,Cruzamento da A-376 com a SE-40,Carro,True,SE-40 - Aeroporto de Sevilha - San Pablo
A-376 - Saída 8,Cruzamento da A-376 com a SE-40,Carro,True,Sevilha
A-376 - Saída 11/13,A-376 - Saída 16,Carro,False,Sevilha
A-376 - Saída 11/13,A-376 - Saída 16,Carro,True,Ronda
A-376 - Saída 11/13,A-376 - Saída 16,Carro,True,Utrera
A-376 - Saída 16,A-376 - Saída 21,Carro,False,Sevilha
A-376 - Saída 16,A-376 - Saída 21,Carro,True,Ronda
A-376 - Saída 16,A-376 - Saída 21,Carro,True,Utrera
A-4 - Saída 445,A-4 - Saída 450,Carro,False,Córdoba
A-4 - Saída 445,A-4 - Saída 450,Carro,False,La Carlota
A-4 - Saída 445,A-4 - Saída 450,Carro,True,Écija
A-4 - Saída 445,A-4 - Saída 450,Carro,True,Sevilha
A-4 - Saída 450,A-4 - Saída 455,Carro,False,Córdoba
A-4 - Saída 450,A-4 - Saída 455,Carro,False,La Carlota
A-4 - Saída 450,A-4 - Saída 455,Carro,True,Cádiz
A-4 - Saída 450,A-4 - Saída 455,Carro,True,Carmona
A-4 - Saída 450,A-4 - Saída 455,Carro,True,Sevilha
A-4 - Saída 455,A-4 - Saída 457,Carro,False,Córdoba
A-4 - Saída 455,A-4 - Saída 457,Carro,False,Écija
A-4 - Saída 455,A-4 - Saída 457,Carro,True,Cádiz
A-4 - Saída 455,A-4 - Saída 457,Carro,True,Carmona
A-4 - Saída 455,A-4 - Saída 457,Carro,True,Sevilha
A-4 - Saída 457,A-4 - Saída 459,Carro,False,Córdoba
A-4 - Saída 457,A-4 - Saída 459,Carro,False,Écija
A-4 - Saída 457,A-4 - Saída 459,Carro,True,Cádiz
A-4 - Saída 457,A-4 - Saída 459,Carro,True,Carmona
A-4 - Saída 457,A-4 - Saída 459,Carro,True,Sevilha
A-4 - Saída 459,A-4 - Saída 461,Carro,False,Córdoba
A-4 - Saída 459,A-4 - Saída 461,Carro,False,Écija
A-4 - Saída 459,A-4 - Saída 461,Carro,True,Carmona
A-4 - Saída 459,A-4 - Saída 461,Carro,True,Sevilha
A-4 - Saída 461,A-4 - Saída 464,Carro,False,Córdoba
A-4 - Saída 461,A-4 - Saída 464,Carro,False,Écija
A-4 - Saída 461,A-4 - Saída 464,Carro,True,Cádiz
A-4 - Saída 461,A-4 - Saída 464,Carro,True,Carmona
A-4 - Saída 461,A-4 - Saída 464,Carro,True,Sevilha
A-4 - Saída 464,A-4 - Saída 468,Carro,False,Córdoba
A-4 - Saída 464,A-4 - Saída 468,Carro,False,Écija
A-4 - Saída 464,A-4 - Saída 468,Carro,True,Carmona
A-4 - Saída 464,A-4 - Saída 468,Carro,True,Sevilha
A-4 - Saída 468,A-4 - Saída 471,Carro,False,Córdoba
A-4 - Saída 468,A-4 - Saída 471,Carro,False,Écija
A-4 - Saída 468,A-4 - Saída 471,Carro,True,Cádiz
A-4 - Saída 468,A-4 - Saída 471,Carro,True,Carmona
A-4 - Saída 468,A-4 - Saída 471,Carro,True,Sevilha
A-4 - Saída 471,A-4 - Saída 475,Carro,False,Córdoba
A-4 - Saída 471,A-4 - Saída 475,Carro,False,Écija
A-4 - Saída 471,A-4 - Saída 475,Carro,True,Cádiz
A-4 - Saída 471,A-4 - Saída 475,Carro,True,Carmona
A-4 - Saída 471,A-4 - Saída 475,Carro,True,Sevilha
A-4 - Saída 475,A-4 - Saída 480,Carro,False,Córdoba
A-4 - Saída 475,A-4 - Saída 480,Carro,False,Écija
A-4 - Saída 475,A-4 - Saída 480,Carro,True,Carmona
A-4 - Saída 475,A-4 - Saída 480,Carro,True,Sevilha
A-4 - Saída 480,A-4 - Saída 482,Carro,False,Córdoba
A-4 - Saída 480,A-4 - Saída 482,Carro,False,Écija
A-4 - Saída 480,A-4 - Saída 482,Carro,True,Carmona
A-4 - Saída 480,A-4 - Saída 482,Carro,True,Sevilha
A-4 - Saída 482,A-4 - Saída 484,Carro,False,Córdoba
A-4 - Saída 482,A-4 - Saída 484,Carro,False,Écija
A-4 - Saída 482,A-4 - Saída 484,Carro,True,Cádiz
