Local A;Local B;Meio de transporte;Distância;Informação extra;Ponto cardeal
A-4 - Saída 530;A-4 - Saída 532;Carro;2.1;;SO
A-4 - Saída 532;A-4 - Saída 533;Carro;1.0;;SO
A-4 - Saída 532;Aeroporto de Sevilha - San Pablo;Carro;0.5;;S
A-4 - Saída 533;Cruzamento da A-4 com a SE-20;Carro;1.6;;SO
A-4 - Saída 533;Aeroporto de Sevilha - San Pablo;Carro;1.0;;E
A-4 - Saída 536;Cruzamento da A-4 Norte com a SE-30;Carro;0.6;;SO
A-4 - Saída 536;Cruzamento da A-4 com a SE-20;Carro;1.6;;NE
A-4 - Saída 553;Cruzamento da A-4 Sul com a SE-40;Carro;3.0;;N
A-483 - Saída 1;Cruzamento da A-49 com a A-483;Carro;1.7;;N
A-483 - Saída 1;A-483 - Saída 3;Carro;2.1;;SE
A-483 - Saída 1;Bollullos Par del Condado;Carro;1.8;;E
A-483 - Saída 3;Bollullos Par del Condado;Carro;2.1;;N
A-49 - Saída 1;A-49 - Saída 1B;Carro;1.4;;S
A-49 - Saída 1;Cruzamento da A-49 com a SE-30;Carro;0.5;;E
A-49 - Saída 1B;A-49 - Saída 2;Carro;0.6;;O
A-49 - Saída 2;A-49 - Saída 3;Carro;1.4;;O
A-49 - Saída 3;A-49 - Saída 5;Carro;2.0;;SO
A-49 - Saída 5;Cruzamento da A-49 com a SE-40;Carro;2.2;;SO
A-49 - Saída 11;A-49 - Saída 14;Carro;2.6;;SO
A-49 - Saída 11;Cruzamento da A-49 com a SE-40;Carro;3.4;;NE
A-49 - Saída 14;A-49 - Saída 16;Carro;2.7;;NO
A-49 - Saída 16;A-49 - Saída 23;Carro;6.9;;O
A-49 - Saída 23;A-49 - Saída 28;Carro;4.6;;O
A-49 - Saída 28;A-49 - Saída 34;Carro;5.8;;O
A-49 - Saída 34;A-49 - Saída 48;Carro;13.7;;O
A-49 - Saída 48;Cruzamento da A-49 com a A-483;Carro;1.7;;SO
A-49 - Saída 48;Bollullos Par del Condado;Carro;2.4;;S
A-49 - Saída 53;A-49 - Saída 60;Carro;7.1;;SO
A-49 - Saída 53;Cruzamento da A-49 com a A-483;Carro;3.6;;E
A-49 - Saída 60;A-49 - Saída 75;Carro;14.9;;SO
A-49 - Saída 75;Cruzamento da A-49 com a H-31;Carro;3.3;;SO
A-49 - Saída 81;A-49 - Saída 87;Carro;6.3;;NO
A-49 - Saída 81;Cruzamento da A-49 com a H-31;Carro;3.9;;SE
A-49 - Saída 81;H-31 - Saída 80;Carro;3.7;;SE
A-49 - Saída 81;Centro Penitenciario de Huelva;Carro;3.2;;SE
A-49 - Saída 87;A-49 - Saída 94;Carro;6.3;;SO
A-49 - Saída 87;Gibraleón;Carro;3.4;;N
A-49 - Saída 94;A-49 - Saída 99;Carro;4.6;;SO
A-49 - Saída 94;Gibraleón;Carro;8.3;;NE
A-49 - Saída 99;A-49 - Saída 105;Carro;7.7;;O
A-49 - Saída 99;Cartaya;Carro;9.3;;SO
A-49 - Saída 105;A-49 - Saída 113;Carro;7.0;;SO
A-49 - Saída 105;Cartaya;Carro;6.0;;S
A-49 - Saída 105;Tariquejo;Carro;7.7;;N
A-49 - Saída 113;A-49 - Saída 117;Carro;3.7;;SO
A-49 - Saída 113;Cruzamento da N-431 com a N-444;Carro;3.9;;SE
A-49 - Saída 117;A-49 - Saída 122;Carro;5.3;;SO
A-49 - Saída 117;Villablanca;Carro;9.1;;NO
A-49 - Saída 117;Lepe;Carro;6.5;;SE
A-49 - Saída 122;A-49 - Saída 125;Carro;3.1;;SO
A-49 - Saída 122;Pozo del Camino;Carro;4.4;;S
A-49 - Saída 125;A-49 - Saída 129;Carro;3.9;;O
A-49 - Saída 125;Villablanca;Carro;6.1;;N
A-49 - Saída 129;A-49 - Saída 131;Carro;2.3;;O
A-49 - Saída 129;Polígono Industrial de Ayamonte;Carro;1.3;;SO
A-49 - Saída 131;Ponte Internacional do Guadiana;Carro;1.3;;O
A-49 - Saída 131;Ayamonte;Carro;3.4;;S
A-49 - Saída 131;Costa Esuri;Carro;2.5;;N
A-66 - Saída 790;A-66 - Saída 795;Carro;4.7;;S
A-66 - Saída 795;A-66 - Saída 798;Carro;3.3;;SE
A-66 - Saída 798;A-66 - Saída 805;Carro;6.9;;SE
A-66 - Saída 805;A-66 - Saída 808;Carro;3.2;;SE
A-66 - Saída 808;Cruzamento da A-66 com a SE-30;Carro;2.2;;S
A-8058 - Saída 0;SE-30 - Saída 15;Carro;1.1;;NE
A-8058 - Saída 0;San Juan de Aznalfarache;Carro;1.2;;S
A22 - Saída 11;Área de Serviço de Loulé;Carro;1.7;;SE
A22 - Saída 11;Boliqueime;Carro;4.7;;SO
A22 - Saída 11;Santuário de Nossa Senhora da Piedade;Carro;9.5;;E
A22 - Saída 12;Área de Serviço de Loulé;Carro;6.7;;NO
A22 - Saída 12;A22 - Saída 13;Carro;5.3;;SE
A22 - Saída 12;Loulé;Carro;3.4;;NE
A22 - Saída 12;Cruzamento da N125 com a N396;Carro;2.7;;S
A22 - Saída 13;A22 - Saída 14;Carro;7.0;;E
A22 - Saída 13;Cruzamento do IC4 com a N125;Carro;3.0;;SE
A22 - Saída 13;Mar Shopping Algarve;Carro;1.9;;NO
A22 - Saída 13;Estádio Algarve;Carro;2.9;;SE
A22 - Saída 14;A22 - Saída 15;Carro;11.6;;E
A22 - Saída 14;Ruínas Romanas de Milreu;Carro;2.0;N2;E
A22 - Saída 14;Conceição, Faro;Carro;4.4;N2;S
A22 - Saída 15;Área de Serviço de Olhão;Carro;3.6;;NE
A22 - Saída 15;Moncarapacho;Carro;3.5;;S
A22 - Saída 15;Cruzamento da N125 com a N398;Carro;7.9;;S
A22 - Saída 15;Santa Catarina da Fonte do Bispo;Carro;5.7;;N
A22 - Saída 16;Área de Serviço de Olhão;Carro;7.2;;SO
A22 - Saída 16;A22 - Saída 17;Carro;19.8;;NE
A22 - Saída 16;Tavira - Sul;Carro;5.0;;SE
A22 - Saída 16;Santa Catarina da Fonte do Bispo;Carro;9.4;;NO
A22 - Saída 16;Cascata do Pego do Inferno;Carro;3.5;;N
A22 - Saída 17;A22 - Saída 18;Carro;6.0;;NE
A22 - Saída 17;Altura;Carro;2.4;;S
A22 - Saída 18;Área de Repouso de Castro Marim;Carro;1.1;;NE
A22 - Saída 18;IC27 - Início;Carro;0.5;;N
A22 - Saída 18;Castro Marim;Carro;1.7;;S
Aeroporto de Beja;Beja;Carro;9.6;;SE
Aeroporto de Beja;Aeroporto de Faro;Avião;115.7;;S
Aeroporto de Beja;Aeroporto de Sevilha - San Pablo;Avião;193.4;;SE
Aeroporto de Faro;Montenegro;Carro;2.6;;N
Aeroporto de Faro;Praia de Faro;Carro;4.8;;SO
Aeroporto de Faro;Aeroporto de Sevilha - San Pablo;Avião;188.9;;NE
Afonso Vicente;Menires do Lavajo;Carro;1.3;;NE
