Nome,Latitude,Longitude,Altitude,Informação extra,Lote
A1 - Canidelo,41.127825,-8.635717,85,,1700
A1 - Saída 1A,38.849165,-9.088572,79,,1600
A1 - Saída 2A,38.943768,-8.997896,10,,1600
A1 - Saída 3,38.971987,-8.979951,6,,1600
A1 - Saída 3A,39.004866,-8.966987,2,,1600
A1 - Saída 5,39.140602,-8.88864,74,,1600
A1 - Saída 5A,39.205406,-8.788611,73,,1600
A1 - Saída 6,39.258176,-8.734753,38,,1600
A1 - Saída 8,39.624111,-8.694838,362,,1600
A1 - Saída 9,39.740722,-8.740977,163,,1600
A1 - Saída 10,39.939868,-8.678815,122,,1600
A1 - Saída 10A,40.041373,-8.576204,54,,1600
A1 - Saída 12,40.200193,-8.488186,25,,1600
A1 - Saída 14,40.374183,-8.493436,73,,1600
A1 - Saída 15,40.57089,-8.560704,18,,1600
A1 - Saída 17,40.781159,-8.54451,64,,1600
A1 - Saída 18,40.928837,-8.569364,118,,1600
A1 - Saída 18B,41.046616,-8.571098,156,,1600
A1 - Saída 20,41.110161,-8.607089,120,,1700
A1 - Saída 23,41.143246,-8.639282,68,,1700
A1 - São João da Talha,38.823294,-9.099207,69,,1600
A2 - Saída 1,38.666386,-9.171944,30,,1000
A2 - Saída 2,38.608382,-9.104305,14,,1000
A2 - Saída 3,38.578689,-9.016780,45,,1000
A2 - Saída 4,38.584756,-8.885703,78,,1000
A2 - Saída 6,38.601171,-8.674048,43,,800
A2 - Saída 8,38.417911,-8.511853,41,,700
A2 - Saída 9,38.224989,-8.518896,67,,700
A2 - Saída 11,37.892310,-8.239932,127,,700
A2 - Saída 12,37.665539,-8.157774,253,,700
A2 - Saída 13,37.521372,-8.181839,235,,500
A2 - Saída 14,37.253438,-8.255587,125,,400
A3 - Início,41.171820,-8.595418,130,,1600
A5 - Fim,38.722438,-9.447006,64,,1000
A5 - Saída 1,38.723243,-9.175877,39,Parque Florestal de Monsanto,1000
A5 - Saída 2,38.724587,-9.193881,170,Parque Florestal de Monsanto,1000
A5 - Saída 3,38.720326,-9.207306,103,Parque Florestal de Monsanto,1000
A5 - Saída 4,38.716501,-9.22229,36,,1000
A5 - Saída 5,38.718075,-9.235249,90,,1000
A5 - Saída 7,38.713453,-9.29711,67,,1000
A5 - Saída 8,38.707931,-9.336863,78,,1000
A5 - Saída 9,38.717585,-9.388258,72,,1000
A5 - Saída 11,38.726369,-9.425376,93,,1000
A5 - Saída 12,38.722589,-9.438451,81,,1000
A6 - Saída 2,38.645978,-8.432217,128,,800
A6 - Saída 3,38.666552,-8.233110,177,,1000
A6 - Saída 4,38.665075,-8.172909,251,,1000
A6 - Saída 5,38.602540,-8.024516,324,,1000
A6 - Saída 6,38.646643,-7.857189,264,,1000
A6 - Saída 7,38.819754,-7.605934,312,,1000
A6 - Saída 8,38.817511,-7.474756,422,,1000
A6 - Saída 9,38.883006,-7.228457,394,,1000
A6 - Saída 10,38.908953,-7.177894,336,,1000
A6 - Saída 11,38.902961,-7.146798,240,,1000
A6 - Saída 12,38.889935,-7.112100,208,,1000
A6 - Saída 13,38.883746,-7.052777,176,,1000
A9 CREL - Saída 3,38.786238,-9.242296,177,,1300
A9 CREL - Saída 4,38.824940,-9.192534,146,,1300
A10 - Saída 5,38.955415,-8.828052,15,,1800
A13 - Saída 2,38.685239,-8.639099,70,,800
A13 - Saída 3,38.837320,-8.726664,44,,1500
A13 - Saída 5,38.998509,-8.711216,32,,1800
