Nome,Comarca
A-376 - Centro Comercial,Comarca Metropolitana de Sevilha
A-376 - Condequinto,Comarca Metropolitana de Sevilha
A-376 - Fim da auto-estrada,Bajo Guadalquivir
A-376 - Montequinto,Comarca Metropolitana de Sevilha
A-376 - Saída 4A,Comarca Metropolitana de Sevilha
A-376 - Saída 4B,Comarca Metropolitana de Sevilha
A-376 - Saída 8,Comarca Metropolitana de Sevilha
A-376 - Saída 8,Los Alcores
A-376 - Saída 11/13,Comarca Metropolitana de Sevilha
A-376 - Saída 11/13,Los Alcores
A-376 - Saída 16,Comarca Metropolitana de Sevilha
A-376 - Saída 16,Los Alcores
A-376 - Saída 21,Bajo Guadalquivir
A-376 - Universidade Pablo de Olavide,Comarca Metropolitana de Sevilha
A-4 - Saída 511,Campiña de Carmona
A-4 - Saída 511,Los Alcores
A-4 - Saída 514,Campiña de Carmona
A-4 - Saída 514,Los Alcores
A-4 - Saída 516,Campiña de Carmona
A-4 - Saída 516,Los Alcores
A-4 - Saída 519,Campiña de Carmona
A-4 - Saída 519,Los Alcores
A-4 - Saída 521,Campiña de Carmona
A-4 - Saída 521,Los Alcores
A-4 - Saída 523,Campiña de Carmona
A-4 - Saída 523,Los Alcores
A-4 - Saída 524,Comarca Metropolitana de Sevilha
A-4 - Saída 528,Comarca Metropolitana de Sevilha
A-4 - Saída 530,Comarca Metropolitana de Sevilha
A-4 - Saída 532,Comarca Metropolitana de Sevilha
A-4 - Saída 533,Comarca Metropolitana de Sevilha
A-4 - Saída 536,Comarca Metropolitana de Sevilha
A-4 - Saída 553,Comarca Metropolitana de Sevilha
A-4 - Saída 558,Comarca Metropolitana de Sevilha
A-483 - Saída 1,El Condado
A-483 - Saída 3,El Condado
A-49 - Saída 1,Aljarafe
A-49 - Saída 1,Comarca Metropolitana de Sevilha
A-49 - Saída 1B,Aljarafe
A-49 - Saída 1B,Comarca Metropolitana de Sevilha
A-49 - Saída 2,Aljarafe
A-49 - Saída 2,Comarca Metropolitana de Sevilha
A-49 - Saída 3,Aljarafe
A-49 - Saída 3,Comarca Metropolitana de Sevilha
A-49 - Saída 5,Aljarafe
A-49 - Saída 5,Comarca Metropolitana de Sevilha
A-49 - Saída 11,Aljarafe
A-49 - Saída 14,Aljarafe
A-49 - Saída 16,Aljarafe
A-49 - Saída 23,Aljarafe
A-49 - Saída 28,Aljarafe
A-49 - Saída 34,El Condado
