Nome,Município,Província,Distrito
A-376 - Centro Comercial,Sevilha,Sevilha,Sur
A-376 - Condequinto,Dos Hermanas,Sevilha,
A-376 - Fim da auto-estrada,Utrera,Sevilha,
A-376 - Montequinto,Dos Hermanas,Sevilha,
A-376 - Saída 11/13,Alcalá de Guadaíra,Sevilha,
A-376 - Saída 16,Alcalá de Guadaíra,Sevilha,
A-376 - Saída 21,Utrera,Sevilha,
A-376 - Saída 4A,Dos Hermanas,Sevilha,
A-376 - Saída 4B,Dos Hermanas,Sevilha,
A-376 - Saída 8,Alcalá de Guadaíra,Sevilha,
A-376 - Universidade Pablo de Olavide,Dos Hermanas,Sevilha,
A-4 - Saída 494,Carmona,Sevilha,
A-4 - Saída 498,Carmona,Sevilha,
A-4 - Saída 500,Carmona,Sevilha,
A-4 - Saída 504,Carmona,Sevilha,
A-4 - Saída 506,Carmona,Sevilha,
A-4 - Saída 508,Carmona,Sevilha,
A-4 - Saída 511,Carmona,Sevilha,
A-4 - Saída 514,Carmona,Sevilha,
A-4 - Saída 516,Carmona,Sevilha,
A-4 - Saída 519,Carmona,Sevilha,
A-4 - Saída 521,Carmona,Sevilha,
A-4 - Saída 523,Carmona,Sevilha,
A-4 - Saída 524,La Rinconada,Sevilha,
A-4 - Saída 528,La Rinconada,Sevilha,
A-4 - Saída 530,La Rinconada,Sevilha,
A-4 - Saída 532,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 533,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 536,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-4 - Saída 553,Dos Hermanas,Sevilha,
A-4 - Saída 558,Dos Hermanas,Sevilha,
A-483 - Saída 1,Bollullos Par del Condado,Huelva,
A-483 - Saída 3,Bollullos Par del Condado,Huelva,
A-49 - Saída 1,Camas,Sevilha,
A-49 - Saída 105,Cartaya,Huelva,
A-49 - Saída 11,Bollullos de la Mitación,Sevilha,
A-49 - Saída 113,Lepe,Huelva,
A-49 - Saída 117,Lepe,Huelva,
A-49 - Saída 122,Isla Cristina,Huelva,
A-49 - Saída 125,Ayamonte,Huelva,
A-49 - Saída 129,Ayamonte,Huelva,
A-49 - Saída 131,Ayamonte,Huelva,
A-49 - Saída 14,Umbrete,Sevilha,
A-49 - Saída 16,Benacazón,Sevilha,
A-49 - Saída 1B,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 2,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 23,Huévar del Aljarafe,Sevilha,
A-49 - Saída 28,Carrión de los Céspedes,Sevilha,
A-49 - Saída 3,Castilleja de la Cuesta,Sevilha,
A-49 - Saída 34,Chucena,Huelva,
A-49 - Saída 48,Bollullos Par del Condado,Huelva,
A-49 - Saída 5,Bormujos,Sevilha,
A-49 - Saída 53,Villarrasa,Huelva,
A-49 - Saída 60,Bonares,Huelva,
A-49 - Saída 75,San Juan del Puerto,Huelva,
A-49 - Saída 81,Huelva,Huelva,
A-49 - Saída 87,Gibraleón,Huelva,
A-49 - Saída 94,Gibraleón,Huelva,
A-49 - Saída 99,Gibraleón,Huelva,
A-66 - Saída 782,El Garrobo,Sevilha,
A-66 - Saída 790,Guillena,Sevilha,
A-66 - Saída 795,Guillena,Sevilha,
A-66 - Saída 798,Guillena,Sevilha,
A-66 - Saída 805,Salteras,Sevilha,
A-66 - Saída 808,Santiponce,Sevilha,
A-8009 - Saída 2,La Rinconada,Sevilha,
A-8009 - Saída 4,La Rinconada,Sevilha,
A-8009 - Saída 5,La Rinconada,Sevilha,
A-8057 - Saída 0A,San Juan de Aznalfarache,Sevilha,
A-8057 - Saída 2,Mairena del Aljarafe,Sevilha,
A-8058 - Saída 0,San Juan de Aznalfarache,Sevilha,
A-92 - Andalucía Residencial,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-92 - Saída 5,Alcalá de Guadaíra,Sevilha,
A-92 - Saída 7,Alcalá de Guadaíra,Sevilha,
A-92 - Sevilha Este,Sevilha,Sevilha,Este-Alcosa-Torreblanca
A-92 - Torreblanca,Sevilha,Sevilha,Este-Alcosa-Torreblanca
Aeroporto de Sevilha - San Pablo,Sevilha,Sevilha,Este-Alcosa-Torreblanca
Antiga Estação de Isla Cristina - Pozo del Camino,Ayamonte,Huelva,
Ayamonte,Ayamonte,Huelva,
Barriada de Canela,Ayamonte,Huelva,
Bollullos Par del Condado,Bollullos Par del Condado,Huelva,
Carmona,Carmona,Sevilha,
Cartaya,Cartaya,Huelva,
Centro Penitenciario de Huelva,Huelva,Huelva,
Coria del Río,Coria del Río,Sevilha,
Costa Esuri,Ayamonte,Huelva,
Cruzamento da A-376 com a SE-30,Sevilha,Sevilha,Sur
Cruzamento da A-376 com a SE-40,Alcalá de Guadaíra,Sevilha,
Cruzamento da A-4 com a SE-20,Sevilha,Sevilha,Norte
Cruzamento da A-4 Norte com a SE-30,Sevilha,Sevilha,Este-Alcosa-Torreblanca
Cruzamento da A-4 Norte com a SE-40,La Rinconada,Sevilha,
Cruzamento da A-4 Sul com a SE-30,Sevilha,Sevilha,Bellavista-La Palmera
Cruzamento da A-4 Sul com a SE-40,Dos Hermanas,Sevilha,
Cruzamento da A-49 com a A-483,Bollullos Par del Condado,Huelva,
Cruzamento da A-49 com a H-31,Huelva,Huelva,
Cruzamento da A-49 com a SE-30,Camas,Sevilha,
Cruzamento da A-49 com a SE-40,Espartinas,Sevilha,
Cruzamento da A-66 com a SE-30,Camas,Sevilha,
Cruzamento da A-8005 com a SE-20,Sevilha,Sevilha,Norte
Cruzamento da A-8009 com a SE-20,Sevilha,Sevilha,Norte
Cruzamento da A-92 com a SE-30,Sevilha,Sevilha,Cerro-Amate
Cruzamento da A-92 com a SE-40,Alcalá de Guadaíra,Sevilha,
Cruzamento da H-30 com a H-31,Huelva,Huelva,
Cruzamento da N-431 com a N-444,Lepe,Huelva,
Cruzamento da SE-20 com a SE-30,Sevilha,Sevilha,Triana
El Granado,El Granado,Huelva,
Gelves,Gelves,Sevilha,
Gibraleón,Gibraleón,Huelva,
H-31 - Saída 80,Huelva,Huelva,
Isla Cristina,Isla Cristina,Huelva,
Lepe,Lepe,Huelva,
Mairena del Aljarafe,Mairena del Aljarafe,Sevilha,
Marismas de Isla Cristina,Ayamonte,Huelva,
Polígono Industrial de Ayamonte,Ayamonte,Huelva,
Ponte de Alamillo,Sevilha,Sevilha,Triana
Ponte do Centenário,Sevilha,Sevilha,Bellavista-La Palmera
Ponte Internacional do Baixo Guadiana,El Granado,Huelva,
