Nome;Freguesia
A22 - Saída 11;Boliqueime
A22 - Saída 12;São Clemente
A22 - Saída 13;Almancil
A22 - Saída 14;Estoi
A22 - Saída 15;Moncarapacho
A22 - Saída 16;Santiago
A22 - Saída 17;Altura
A22 - Saída 18;Castro Marim
Aeroporto de Beja;São Brissos
Aeroporto de Faro;Montenegro
Afonso Vicente;Alcoutim
Álamo, Alcoutim;Alcoutim
Álamo, Mértola;Espírito Santo
Albufeira - Centro histórico;Albufeira
Albufeira - Rua da Oura;Albufeira
Alcaria;Odeleite
Alcarias Grandes;Azinhal
Alcoutim;Alcoutim
Almada de Ouro;Azinhal
Almancil;Almancil
Alta Mora;Odeleite
Alte;Alte
Altura;Altura
Ameixal;Ameixal
Aquashow;Quarteira
Área de Repouso de Castro Marim;Castro Marim
Área de Serviço de Loulé;Boliqueime
Área de Serviço de Olhão;Moncarapacho
Azinhal;Azinhal
Balurco de Baixo;Alcoutim
Balurco de Cima;Alcoutim
Bar do Rio;Alcoutim
Barra do Guadiana;Vila Real de Santo António
Barragem de Alcoutim;Alcoutim
Barragem de Odeleite;Odeleite
Barragem do Beliche;Castro Marim
Barranco das Pereiras;Alcoutim
Barranco do Velho;Salir
Beja;Santa Maria da Feira
Beliche;Castro Marim
Boavista;Espírito Santo
Boliqueime;Boliqueime
Botelhas;Castro Marim
Brinhosa;Odeleite
Cabanas de Tavira;Cabanas de Tavira
Cabeço da Junqueira;Castro Marim
Cabo de Santa Maria;Sé
Cacela Velha;Vila Nova de Cacela
Cachopo;Cachopo
Cais da Mesquita;Espírito Santo
Cais da Praia do Barril;Santa Luzia
Casa Branca, Alcoutim;Alcoutim
Casa Branca, Castro Marim;Odeleite
Cascata do Pego do Inferno;Santo Estêvão
Cascata do Pulo do Lobo - Margem Esquerda;Santa Maria
Cascata do Pulo do Lobo - Margem Direita;Mértola
Casinhas;Castro Marim
Castro Marim;Castro Marim
Castro Marim Golfe & Country Club;Castro Marim
Choça Queimada;Odeleite
Cercado;Alcoutim
Cerro;Alcoutim
Cerro do Enho;Castro Marim
Coito;Pereiro
Conceição, Faro;Conceição
Conceição, Tavira;Conceição
Corte da Seda;Alcoutim
Corte das Donas;Alcoutim
Corte do Gago;Azinhal
Corte João Marques;Ameixal
Corte Nova;Odeleite
Corte Velha;Odeleite
Cortes Pereiras;Alcoutim
Corte Tabelião;Alcoutim
Cruzamento do IC4 com a M520;São Pedro
Cruzamento do IC4 com a N125;Almancil
Cruzamento da M509 com a M512;Azinhal
Cruzamento da M524 com a M525;Tôr
Cruzamento da N122 com a M1059;Alcoutim
Cruzamento da N122 com a M1060;Odeleite
Cruzamento da N122 com a M1063;Odeleite
Cruzamento da N122 com a M507;Pereiro
Cruzamento da N122 com a M507-2;Alcoutim
Cruzamento da N122 com a M512;Azinhal
Cruzamento da N122 com a N123;Mértola
Cruzamento da N124 com a M507-1;Giões
Cruzamento da N124 com a N396;Querença
Cruzamento da N125 com a M1347;Santiago
Cruzamento da N125 com a M516-2;Moncarapacho
Cruzamento da N125 com a M526;Boliqueime
Cruzamento da N125 com a N125-6;Castro Marim
Cruzamento da N125 com a N269;Ferreiras
Cruzamento da N125 com a N396;São Clemente
Cruzamento da N125 com a N398;Quelfes
Cruzamento da N125-4 com a M521;São Clemente
Cruzamento da N265 com a N392;Salvador
Culatra;Sé
Deserto;Alcoutim
Dunas de Vila Real de Santo António;Vila Real de Santo António
Espírito Santo;Espírito Santo
Estação de Albufeira - Ferreiras;Ferreiras
Estação de Almancil;Almancil
Estação de Boliqueime;Boliqueime
Estação de Bom João;Sé
Estação de Cacela;Vila Nova de Cacela
Estação de Castro Marim;Castro Marim
Estação de Faro;São Pedro
Estação de Fuseta-A;Fuseta
Estação de Fuseta-Moncarapacho;Moncarapacho
Estação de Loulé;São Sebastião
Estação da Luz;Luz de Tavira
Estação de Monte Gordo;Monte Gordo
Estação de Parque das Cidades;Almancil
Estação da Porta Nova;Santa Maria
Estação de Tavira;Santiago
Estádio Algarve;Almancil
Estoi;Estoi
Faro - Avenida Calouste Gulbenkian;São Pedro
Faro - São Pedro;São Pedro
Faro - Sé;Sé
Fonte Benémola;Querença
Fonte do Penedo;Odeleite
Fonte Zambujo;Pereiro
Fonte Zambujo de Baixo;Pereiro
Fonte Zambujo de Cima;Pereiro
Forum Algarve;São Pedro
Foz de Odeleite;Odeleite
Furnazinhas;Odeleite
Fuseta;Fuseta
Giões;Giões
Guerreiros do Rio;Alcoutim
Hangares;Sé
Hortas;Monte Gordo
IC27 - Fim;Pereiro
IC27 - Início;Castro Marim
IC27 - Saída 1;Castro Marim
IC27 - Saída 2;Azinhal
IC27 - Saída 3;Azinhal
IC27 - Saída 4;Odeleite
IC27 - Saída 5;Odeleite
IC27 - Saída 6;Alcoutim
IC27 - Saída 7;Alcoutim
Ilha da Armona;Quelfes
Ilha do Farol;Sé
IP2 - Saída 44;Trindade
Junqueira;Castro Marim
Laranjeiras;Alcoutim
Loulé;São Clemente
Livramento;Luz de Tavira
Luz de Tavira;Luz de Tavira
Manta Rota;Vila Nova de Cacela
Mar Shopping Algarve;Almancil
Marmeleiro;Alcoutim
Martinlongo;Martinlongo
Menires do Lavajo;Alcoutim
Mértola;Mértola
Mesquita;Espírito Santo
Mina de Sal-Gema de Loulé;São Clemente
Minas de São Domingos;Corte do Pinto
Miradouro do Caldeirão;Ameixal
Moncarapacho;Moncarapacho
Monte Alto;Mértola
Monte Francisco;Castro Marim
Monte Gordo;Monte Gordo
Monte Vascão;Alcoutim
Montenegro;Montenegro
Montes Castelhanos;Castro Marim
Montinho;Alcoutim
Montinho das Laranjeiras;Alcoutim
Montinho de Odeleite;Odeleite
Moreanes;Santana de Cambas
Murteira de Baixo;Azinhal
Murteira de Cima;Azinhal
Odeleite;Odeleite
Olhão;Olhão
Olhos de Água;Olhos de Água
